LATITUDE,LONGITUDE,JD
-81,-131,2460393.304050926
-67,179,2460393.307523148
-49,168,2460393.31099537
-31,162,2460393.3144675926
-13,158,2460393.3179398146
4,154,2460393.321412037
22,150,2460393.324884259
40,145,2460393.3283564816
58,138,2460393.3318287036
75,118,2460393.335300926
80,23,2460393.338773148
64,-15,2460393.34224537
50,-23,2460393.3450925928
32,-29,2460393.348564815
14,-33,2460393.3520370373
-3,-37,2460393.3555092593
-22,-41,2460393.3589814813
-40,-46,2460393.362453704
-57,-53,2460393.365925926
-74,-73,2460393.3693981483
-80,-165,2460393.3728703703
-65,153,2460393.3763425928
-48,143,2460393.379814815
-30,137,2460393.3832870373
-12,133,2460393.3867592593
5,129,2460393.3902314813
24,125,2460393.393703704
42,120,2460393.397175926
59,112,2460393.4006481483
76,89,2460393.4041203703
79,-8,2460393.4075925928
63,-40,2460393.411064815
45,-50,2460393.4145370373
27,-55,2460393.4180092593
9,-59,2460393.4214814813
-8,-63,2460393.424953704
-27,-67,2460393.428425926
-44,-72,2460393.4318981483
-62,-81,2460393.4353703703
-78,-111,2460393.4388425928
-77,150,2460393.442314815
-61,125,2460393.4457870373
-43,116,2460393.4492592593
-25,111,2460393.4527314813
-7,107,2460393.456203704
10,103,2460393.459675926
28,99,2460393.4631481483
46,94,2460393.4666203703
64,84,2460393.4700925928
80,47,2460393.473564815
75,-48,2460393.4770370373
58,-68,2460393.4805092593
40,-76,2460393.4839814813
22,-81,2460393.487453704
4,-85,2460393.490925926
-13,-89,2460393.4943981483
-31,-93,2460393.4978703703
-49,-99,2460393.5013425928
-67,-110,2460393.504814815
-81,-159,2460393.5082870373
-73,114,2460393.5117592593
-56,97,2460393.5152314813
-38,90,2460393.518703704
-20,85,2460393.522175926
-2,81,2460393.5256481483
15,78,2460393.5291203703
33,73,2460393.5325925928
51,67,2460393.536064815
69,54,2460393.5395370373
81,-6,2460393.5430092593
71,-81,2460393.5464814813
53,-96,2460393.549953704
35,-102,2460393.553425926
17,-107,2460393.5568981483
0,-110,2460393.5603703703
-18,-114,2460393.5638425928
-36,-119,2460393.567314815
-54,-125,2460393.5707870373
-71,-140,2460393.5742592593
-81,141,2460393.5777314813
-68,82,2460393.581203704
-51,70,2460393.584675926
-33,64,2460393.5881481483
-15,60,2460393.5916203703
2,56,2460393.5950925928
20,52,2460393.598564815
38,47,2460393.6020370373
56,40,2460393.6055092593
73,23,2460393.6089814813
81,-65,2460393.612453704
66,-111,2460393.615925926
49,-122,2460393.6193981483
31,-128,2460393.6228703703
12,-132,2460393.6263425928
-5,-136,2460393.629814815
-23,-140,2460393.6332870373
-41,-145,2460393.6367592593
-59,-153,2460393.6402314813
-75,-174,2460393.643703704
-79,88,2460393.647175926
-64,53,2460393.6506481483
-46,43,2460393.6541203703
-28,38,2460393.6575925928
-10,34,2460393.661064815
7,30,2460393.6645370373
25,26,2460393.6680092593
43,21,2460393.6714814813
61,13,2460393.674953704
77,-13,2460393.678425926
78,-112,2460393.6818981483
61,-140,2460393.6853703703
44,-149,2460393.6888425928
26,-154,2460393.692314815
7,-158,2460393.6957870373
-10,-162,2460393.6992592593
-28,-166,2460393.7027314813
-46,-171,2460393.706203704
-63,178,2460393.709675926
-79,144,2460393.7131481483
-76,47,2460393.7166203703
-59,25,2460393.7200925928
-42,17,2460393.723564815
-24,12,2460393.7270370373
-5,8,2460393.7305092593
12,4,2460393.7339814813
30,0,2460393.737453704
48,-4,2460393.740925926
65,-15,2460393.7443981483
80,-58,2460393.7478703703
74,-149,2460393.7513425928
57,-168,2460393.754814815
39,-175,2460393.7582870373
21,179,2460393.7617592593
3,175,2460393.7652314813
-15,171,2460393.768703704
-33,167,2460393.772175926
-51,161,2460393.7756481483
-68,149,2460393.7791203703
-81,92,2460393.7825925928
-72,13,2460393.786064815
-54,-1,2460393.7895370373
-37,-8,2460393.7930092593
-19,-13,2460393.7964814813
-1,-16,2460393.799953704
17,-20,2460393.803425926
32,-24,2460393.8064583335
50,-30,2460393.8099305555
68,-42,2460393.813402778
81,-99,2460393.816875
71,-178,2460393.820347222
54,165,2460393.8238194445
36,159,2460393.8272916665
18,154,2460393.830763889
0,150,2460393.834236111
-17,146,2460393.8377083335
-35,142,2460393.8411805555
-53,135,2460393.844652778
-70,121,2460393.848125
-81,49,2460393.851597222
-69,-14,2460393.8550694445
-52,-27,2460393.8585416665
-34,-33,2460393.862013889
-16,-38,2460393.865486111
1,-42,2460393.8689583335
19,-46,2460393.8724305555
37,-50,2460393.875902778
55,-57,2460393.879375
72,-73,2460393.882847222
81,-158,2460393.8863194445
67,150,2460393.8897916665
49,138,2460393.893263889
31,133,2460393.896736111
13,128,2460393.9002083335
-4,124,2460393.9036805555
-22,120,2460393.907152778
-40,116,2460393.910625
-58,108,2460393.914097222
-75,88,2460393.9175694445
-80,-5,2460393.9210416665
-65,-44,2460393.924513889
-47,-54,2460393.927986111
-29,-59,2460393.9314583335
-11,-64,2460393.9349305555
6,-67,2460393.938402778
24,-71,2460393.941875
42,-76,2460393.945347222
60,-85,2460393.9488194445
76,-109,2460393.9522916665
78,152,2460393.955763889
62,121,2460393.959236111
45,112,2460393.9627083335
27,107,2460393.9661805555
8,103,2460393.969652778
-9,99,2460393.973125
-27,95,2460393.976597222
-45,89,2460393.9800694445
-63,80,2460393.9835416665
-78,49,2460393.987013889
-76,-48,2460393.990486111
-60,-72,2460393.9939583335
-42,-80,2460393.9974305555
-24,-85,2460394.000902778
-6,-89,2460394.004375
11,-93,2460394.007847222
29,-97,2460394.0113194445
47,-103,2460394.0147916665
65,-113,2460394.018263889
80,-152,2460394.021736111
75,113,2460394.0252083335
58,93,2460394.0286805555
40,86,2460394.032152778
22,81,2460394.035625
3,77,2460394.039097222
-14,73,2460394.0425694445
-32,69,2460394.0460416665
-50,63,2460394.049513889
-67,51,2460394.052986111
-81,0,2460394.0564583335
-72,-83,2460394.0599305555
-55,-100,2460394.063402778
-38,-106,2460394.066875
-20,-111,2460394.070347222
-1,-115,2460394.0738194445
16,-119,2460394.0772916665
34,-123,2460394.080763889
52,-129,2460394.084236111
69,-142,2460394.0877083335
82,152,2460394.0911805555
70,80,2460394.094652778
53,66,2460394.098125
35,59,2460394.101597222
17,55,2460394.1050694445
0,51,2460394.1085416665
-19,47,2460394.112013889
-37,43,2460394.115486111
-55,36,2460394.1189583335
-72,21,2460394.1224305555
-81,-58,2460394.125902778
-68,-114,2460394.129375
-51,-126,2460394.132847222
-33,-132,2460394.1363194445
-15,-137,2460394.1397916665
2,-141,2460394.143263889
21,-145,2460394.146736111
39,-149,2460394.1502083335
57,-156,2460394.1536805555
74,-175,2460394.157152778
80,94,2460394.160625
66,50,2460394.164097222
48,39,2460394.1675694445
30,34,2460394.1710416665
12,29,2460394.174513889
-5,25,2460394.177986111
-24,21,2460394.1814583335
-42,17,2460394.1849305555
-59,9,2460394.188402778
-76,-13,2460394.191875
-79,-110,2460394.195347222
-63,-144,2460394.1988194445
-46,-153,2460394.2022916665
-28,-158,2460394.205763889
-10,-163,2460394.209236111
7,-166,2460394.2127083335
25,-170,2460394.2161805555
43,-176,2460394.219652778
61,175,2460394.223125
78,147,2460394.226597222
77,48,2460394.2300694445
61,21,2460394.2335416665
43,13,2460394.237013889
25,8,2460394.240486111
7,4,2460394.2439583335
-10,0,2460394.2474305555
-28,-3,2460394.250902778
-46,-9,2460394.254375
-64,-18,2460394.257847222
-79,-54,2460394.2613194445
-75,-150,2460394.2647916665
-59,-172,2460394.268263889
-41,-179,2460394.271736111
-23,175,2460394.2752083335
-5,171,2460394.2786805555
12,167,2460394.282152778
30,163,2460394.285625
48,157,2460394.289097222
66,146,2460394.2925694445
81,101,2460394.2960416665
73,11,2460394.299513889
56,-5,2460394.302986111
38,-12,2460394.3064583335
20,-17,2460394.3099305555
2,-21,2460394.313402778
-15,-25,2460394.316875
-33,-29,2460394.320347222
-51,-35,2460394.3238194445
-68,-48,2460394.3272916665
-81,-107,2460394.330763889
-71,175,2460394.334236111
-54,160,2460394.3377083335
-36,154,2460394.3411805555
-18,149,2460394.344652778
0,145,2460394.348125
17,141,2460394.351597222
35,137,2460394.3550694445
53,130,2460394.3585416665
70,116,2460394.362013889
81,43,2460394.365486111
69,-20,2460394.3689583335
63,-26,2460394.370162037
45,-35,2460394.373634259
27,-40,2460394.3771064817
9,-44,2460394.3805787037
-8,-48,2460394.3840509257
-26,-52,2460394.387523148
-44,-57,2460394.39099537
-62,-66,2460394.3944675927
-78,-95,2460394.3979398147
-77,165,2460394.401412037
-61,139,2460394.404884259
-43,131,2460394.4083564817
-25,126,2460394.4118287037
-7,122,2460394.4153009257
10,118,2460394.418773148
28,114,2460394.42224537
46,109,2460394.4257175927
64,99,2460394.4291898147
79,63,2460394.432662037
75,-33,2460394.436134259
58,-54,2460394.4396064817
40,-61,2460394.4430787037
22,-66,2460394.4465509257
4,-70,2460394.450023148
-13,-74,2460394.45349537
-31,-78,2460394.4569675927
-49,-84,2460394.4604398147
-67,-95,2460394.463912037
-81,-143,2460394.467384259
-73,129,2460394.4708564817
-56,112,2460394.4743287037
-38,105,2460394.4778009257
-20,100,2460394.481273148
-2,96,2460394.48474537
15,92,2460394.4882175927
33,88,2460394.4916898147
51,82,2460394.495162037
69,69,2460394.498634259
81,9,2460394.5021064817
71,-66,2460394.5055787037
54,-81,2460394.5090509257
36,-87,2460394.512523148
17,-92,2460394.51599537
0,-96,2460394.5194675927
-18,-100,2460394.5229398147
-36,-104,2460394.526412037
-54,-111,2460394.529884259
-71,-125,2460394.5333564817
-81,158,2460394.5368287037
-69,97,2460394.5403009257
-51,85,2460394.543773148
-33,79,2460394.54724537
-15,74,2460394.5507175927
2,71,2460394.5541898147
20,67,2460394.557662037
38,62,2460394.561134259
56,55,2460394.5646064817
73,38,2460394.5680787037
81,-49,2460394.5715509257
66,-97,2460394.575023148
49,-108,2460394.57849537
31,-113,2460394.5819675927
13,-118,2460394.5854398147
-5,-121,2460394.588912037
-23,-125,2460394.592384259
-41,-130,2460394.5958564817
-59,-138,2460394.5993287037
-75,-159,2460394.6028009257
-79,104,2460394.606273148
-64,68,2460394.60974537
-47,58,2460394.6132175927
-29,53,2460394.6166898147
-11,49,2460394.620162037
7,45,2460394.623634259
25,41,2460394.6271064817
43,36,2460394.6305787037
61,27,2460394.6340509257
77,2,2460394.637523148
78,-97,2460394.64099537
62,-125,2460394.6444675927
44,-134,2460394.6479398147
26,-139,2460394.651412037
8,-143,2460394.654884259
-10,-147,2460394.6583564817
-28,-151,2460394.6618287037
-46,-157,2460394.6653009257
-63,-166,2460394.668773148
-79,160,2460394.67224537
-76,63,2460394.6757175927
-59,40,2460394.6791898147
-42,32,2460394.682662037
-24,27,2460394.686134259
-6,23,2460394.6896064817
12,19,2460394.6930787037
30,15,2460394.6965509257
48,9,2460394.700023148
65,0,2460394.70349537
80,-42,2460394.7069675927
74,-134,2460394.7104398147
57,-153,2460394.713912037
39,-160,2460394.717384259
21,-165,2460394.7208564817
3,-169,2460394.7243287037
-14,-173,2460394.7278009257
-33,-177,2460394.731273148
-50,176,2460394.73474537
-68,164,2460394.7382175927
-81,109,2460394.7416898147
-72,28,2460394.745162037
-55,12,2460394.748634259
-37,6,2460394.7521064817
-19,1,2460394.7555787037
-1,-2,2460394.7590509257
16,-6,2460394.762523148
34,-10,2460394.76599537
38,-11,2460394.766747685
56,-18,2460394.7702199076
73,-36,2460394.7736921296
81,-126,2460394.7771643517
66,-171,2460394.780636574
48,177,2460394.784108796
30,172,2460394.7875810186
12,167,2460394.7910532407
-5,164,2460394.794525463
-23,160,2460394.797997685
-41,155,2460394.8014699076
-59,147,2460394.8049421296
-76,125,2460394.8084143517
-79,28,2460394.811886574
-64,-5,2460394.815358796
-46,-15,2460394.8188310186
-28,-20,2460394.8223032407
-10,-24,2460394.825775463
7,-28,2460394.829247685
25,-32,2460394.8327199076
43,-37,2460394.8361921296
61,-46,2460394.8396643517
77,-73,2460394.843136574
78,-172,2460394.846608796
61,159,2460394.8500810186
43,151,2460394.8535532407
25,146,2460394.857025463
7,142,2460394.860497685
-10,138,2460394.8639699076
-28,134,2460394.8674421296
-46,128,2460394.8709143517
-64,119,2460394.874386574
-79,84,2460394.877858796
-76,-12,2460394.8813310186
-59,-33,2460394.8848032407
-41,-41,2460394.888275463
-23,-46,2460394.891747685
-5,-50,2460394.8952199076
12,-54,2460394.8986921296
30,-58,2460394.9021643517
48,-64,2460394.905636574
66,-74,2460394.909108796
80,-119,2460394.9125810186
74,150,2460394.9160532407
57,132,2460394.919525463
39,125,2460394.922997685
21,120,2460394.9264699076
2,116,2460394.9299421296
-15,112,2460394.9334143517
-33,108,2460394.936886574
-51,102,2460394.940358796
-68,89,2460394.9438310186
-81,32,2460394.9473032407
-71,-46,2460394.950775463
-54,-61,2460394.954247685
-36,-67,2460394.9577199076
-18,-72,2460394.9611921296
0,-76,2460394.9646643517
17,-80,2460394.968136574
35,-84,2460394.971608796
53,-91,2460394.9750810186
70,-105,2460394.9785532407
82,-176,2460394.982025463
69,118,2460394.985497685
52,105,2460394.9889699076
34,99,2460394.9924421296
16,94,2460394.9959143517
-2,90,2460394.999386574
-20,86,2460395.002858796
-38,82,2460395.0063310186
-56,75,2460395.0098032407
-73,58,2460395.013275463
-81,-26,2460395.016747685
-67,-76,2460395.0202199076
-50,-88,2460395.0236921296
-32,-93,2460395.0271643517
-14,-98,2460395.030636574
4,-102,2460395.034108796
22,-105,2460395.0375810186
40,-110,2460395.0410532407
58,-118,2460395.044525463
75,-137,2460395.047997685
80,127,2460395.0514699076
65,88,2460395.0549421296
47,78,2460395.0584143517
29,73,2460395.061886574
11,68,2460395.065358796
-6,65,2460395.0688310186
-25,61,2460395.0723032407
-43,56,2460395.075775463
-60,47,2460395.079247685
-77,23,2460395.0827199076
-78,-75,2460395.0861921296
-62,-105,2460395.0896643517
-45,-114,2460395.093136574
-27,-119,2460395.096608796
-9,-123,2460395.1000810186
8,-127,2460395.1035532407
27,-131,2460395.107025463
45,-137,2460395.110497685
62,-146,2460395.1139699076
78,-176,2460395.1174421296
76,84,2460395.1209143517
60,60,2460395.124386574
42,52,2460395.127858796
24,47,2460395.1313310186
6,43,2460395.1348032407
-11,39,2460395.138275463
-29,35,2460395.141747685
-47,29,2460395.1452199076
-65,19,2460395.1486921296
-80,-20,2460395.1521643517
-74,-113,2460395.155636574
-58,-133,2460395.159108796
-40,-140,2460395.1625810186
-22,-145,2460395.1660532407
-4,-149,2460395.169525463
13,-153,2460395.172997685
31,-157,2460395.1764699076
49,-163,2460395.1799421296
67,-174,2460395.1834143517
81,133,2460395.186886574
72,49,2460395.190358796
55,32,2460395.1938310186
37,26,2460395.1973032407
19,21,2460395.200775463
1,17,2460395.204247685
-16,13,2460395.2077199076
-34,9,2460395.2111921296
-52,2,2460395.2146643517
-69,-10,2460395.218136574
-82,-76,2460395.221608796
-70,-146,2460395.2250810186
-53,-160,2460395.2285532407
-35,-166,2460395.232025463
-17,-171,2460395.235497685
0,-175,2460395.2389699076
18,-179,2460395.2424421296
36,176,2460395.2459143517
54,169,2460395.249386574
71,154,2460395.252858796
81,74,2460395.2563310186
68,18,2460395.2598032407
50,5,2460395.263275463
32,0,2460395.266747685
14,-4,2460395.2702199076
-3,-8,2460395.2736921296
-21,-12,2460395.2771643517
-39,-16,2460395.280636574
-57,-24,2460395.284108796
-74,-42,2460395.2875810186
-80,-133,2460395.2910532407
-66,-176,2460395.294525463
-48,172,2460395.297997685
-30,167,2460395.3014699076
-12,162,2460395.3049421296
5,159,2460395.3084143517
23,155,2460395.311886574
41,150,2460395.315358796
59,142,2460395.3188310186
76,120,2460395.3223032407
79,22,2460395.325775463
63,-11,2460395.329247685
46,-20,2460395.332534722
28,-25,2460395.3360069445
10,-29,2460395.3394791665
-7,-33,2460395.342951389
-25,-37,2460395.346423611
-43,-42,2460395.3498958335
-61,-51,2460395.3533680555
-77,-76,2460395.3568402776
-78,-175,2460395.3603125
-62,155,2460395.363784722
-44,146,2460395.3672569445
-26,141,2460395.3707291665
-8,137,2460395.374201389
9,133,2460395.377673611
27,129,2460395.3811458335
45,124,2460395.3846180555
63,114,2460395.3880902776
79,83,2460395.3915625
76,-15,2460395.395034722
